ID,例文,質問内容,解答,,,,,,,,,,,
1,"printfで文字を表現するにはヘッダファイルを定義する。
",printfで文字を表現したいが、何も表示されない,ヘッダーファイルが定義されていないのでは？,,,,,,,,,,1,
2,"printfで数字を表現するにはprintf(""%d"")の形で記述します。",printfで数字を表現したいが、何も表示されない,"printf(""%d"")の形で記述できてる？",,,,,,,,,,2,
3,"数字が少数で表示するにはprintf(""%f"")を記述します。",数字が少数で表示されない,"printf(""%f"")を記述してみてください",,,,,,,,,,3,
4,scanfを実行するには変数名に＆をつける。,scanfが実行できない,変数名に＆がついていないのでは？,,,,,,,,,,4,
5,改行されないのは、文末に\n記述してないから。,改行されない,文末に\n記述したらいいよ,,,,,,,,,,5,
6,赤の波線が出てビルドできないときは、その前後の記述を注視してみよ,赤の波線が出てビルドできない,その前後の記述を注視してみよう,,,,,,,,,,6,
7,単純計算をするプログラムだけどデバックするとエラーが出るときは、全角スペースが入っていると思うよ。,単純計算をするプログラムだけどデバックするとエラーが出る,全角スペースが入っていると思うよ,,,,,,,,,,7,
8,"計算結果が出力するにはちゃんと数字を格納する。
",計算結果が出力されない,ちゃんと数字を格納できてる？,,,,,,,,,,8,
9,printfに赤い波線がでてくるときは、前の行に  ;  をつける。,printfに赤い波線がでてくる,前の行に  ;  はついていますか？,,,,,,,,,,9,
10,if文で三つの変数を比較演算するにはif(a < b && b < c)のように書いてみてください。,if文で三つの変数を比較演算したいけどできない　,if(a < b && b < c)のように書いてみてください,,,,,,,,,,10,
11,if文で2つの変数が等しい時にcを実行させたいけどできないとき、if(a==b)と記述していますか？,if文で2つの変数が等しい時にcを実行させたいけどできない,if(a==b)と記述していますか？,,,,,,,,,,11,if(a < b && b < c)のように書くと、if文で文で2つの変数が等しい時に実行できる。
12,"printfで記述したのが出力されるには""""(ダブルコーテーション)、または''（シングルコーテーション）で囲う。",printfで記述したのに文字が出力されません,"""""(ダブルコーテーション)もしくは''（シングルコーテーション）で囲っていますか？",,,,,,,,,,12,
13,#includeに赤線が出るのは、#includeとヘッダーファイルの宣言の間に空白を入れているから。,#includeに赤線が出る,#includeとヘッダーファイルの宣言の間に空白を入れていますか？,,,,,,,,,,13,
14,「'main' の以前の定義を確認してください」と表示されるのは、同じ関数名が二つあるから。,「'main' の以前の定義を確認してください」と表示されます,同じ関数名が二つありませんか？,,,,,,,,,,14,
15,条件分岐がうまく動作しないときにelseに演算を入れていませんか？else ifにしてみてください,条件分岐がうまく動作しない,elseに演算を入れていませんか？else ifにしてみてください,,,,,,,,,,15,
16,"printf内に'%d'と変数を入れているのにエラーがでるのは””と変数の間に' , ’を入れてないから。",printf内に'%d'と変数を入れているのにエラーがでる,"””と変数の間に' , ’を入れていますか？",,,,,,,,,,16,
17,for文で繰り返しがうまくいかないのは、繰り返しで使う変数の条件はあっていなから。,for文で繰り返しがうまくいかなかった,繰り返しで使う変数の条件はあっていますか,,,,,,,,,,17,
18,intで宣言した変数で計算して格納した値が正しくないのはint型で確保できる値の範囲は-2147483648～2147483647までです。これを超える数を表示するならunsigned intを使いましょう(正の数限定)。,intで宣言した変数で計算して格納した値が正しくなかった,int型で確保できる値の範囲は-2147483648～2147483647までです。これを超える数を表示するならunsigned intを使いましょう(正の数限定),,,,,,,,,,18,
19,整数で計算して実数で表示しようにもできないのは、int型の変数をfloat型もしくはdouble型の変数に格納しようとしてませんか？もし、格納するなら有効にするために計算式に|(したい変数型)変更したい変数名|と記述しましょう。,整数で計算して実数で表示しようにもできなかった,int型の変数をfloat型もしくはdouble型の変数に格納しようとしてませんか？もし、格納するなら有効にするために計算式に|(したい変数型)変更したい変数名|と記述しましょう,,,,,,,,,,19,
20,条件式で一致していない場合が出力されないのは、＝一つのみにしてませんか？一致しているかどうかは＝＝二つで成り立ちます。,条件式で一致していない場合が出力されない,＝一つのみにしてませんか？一致しているかどうかは＝＝二つで成り立ちます。,,,,,,,,,,20,
21,繰り返しの処理の回数が一致しないのは、インクリメント(++)、デクリメント(--)の場所を変数の前、変数の後ろと間違えているから。,繰り返しの処理の回数が一致しない,インクリメント(++)、デクリメント(--)の場所を変数の前、変数の後ろと間違えておいたりしてませんか？,,,,,,,,,,21,
22,別の関数を用意したが、処理が行われなかったのは、あらかじめ関数を宣言していますか？初めに関数名を宣言しないと処理が確実に行われません（関数プロトタイプ宣言）。,別の関数を用意したが、処理が行われなかった,あらかじめ関数を宣言していますか？初めに関数名を宣言しないと処理が確実に行われません（関数プロトタイプ宣言）,,,,,,,,,,22,
23,別の関数で計算した値が表示されなかったのは、引数（関数で利用する変数）、戻り値（別の関数から持ってくる変数）が定義できていから。ここができていないとちゃんとした処理が行われません。,別の関数で計算した値が表示されなかった,引数（関数で利用する変数）、戻り値（別の関数から持ってくる変数）が定義できていますか？ここができていないとちゃんとした処理が行われません。,,,,,,,,,,23,
24,配列に数字が入りきらなかったとき配列の要素数（[]の中身）は足りていますか？[i]と宣言すると要素数は0~i-1まで確保されます。[i]には終端記号が格納されます。,配列に数字が入りきらなかった。,配列の要素数（[]の中身）は足りていますか？[i]と宣言すると要素数は0~i-1まで確保されます。[i]には終端記号が格納されます。,,,,,,,,,,24,
25,"小数点以下が出力されないとき、出力に使う文字を""%d""もしくは変数名をint等で宣言していませんか？小数点以下を表示する文字列は""%f""もしくは""%lf""、変数名はfloatもしくはdoubleで宣言する必要があります",小数点以下が出力されません,"出力に使う文字を""%d""もしくは変数名をint等で宣言していませんか？小数点以下を表示する文字列は""%f""もしくは""%lf""、変数名はfloatもしくはdoubleで宣言する必要があります",,,,,,,,,,25,
26,配列に文字列が入りきらなかったのは、配列の要素数を書いていないから。書いていないと代入を行うことはできません,配列に文字列が代入できない。,配列の要素数を書いていますか？書いていないと代入を行うことはできません,,,,,,,,,,26,
27,未解決のシンボルというエラーが出るとき、ツールバーのファイルからファイル名のプロパティを選びC/C++という項目を選びSDLチェックをいいえと選択してみてください。,未解決のシンボルというエラーが出る,ツールバーのファイルからファイル名のプロパティを選びC/C++という項目を選びSDLチェックをいいえと選択してみてください,,,,,,,,,,27,
